,0,1,2,3,4,5,6,7,8,9,posters,links,raw_info
10,/title/80120200,Gonul,"A nurse escapes from her surgeon fiancé after his ex reveals his dark secrets. She later finds love again, but a car accident changes everything.",TV-14,1 Season,2015,"DirectorsNeslihan Yesilyurt, CastGökçe BahadırEngin ÖztürkOnur Saylak","Neslihan Yesilyurt, Gökçe Bahadır, Engin Öztürk, Onur Saylak","[u'TV Shows', u'International TV Shows', u'TV Dramas', u'Emotional', u'Suspenseful']",https://occ-0-1361-1007.1.nflxso.net/art/e47cd/6ae5decceac66e325af1d962040bfdff7a9e47cd.jpg,"<div class=""title-boxart"" style=""background-image:url(https://occ-0-1361-1007.1.nflxso.net/art/a1b9f/c0f0337f6d6ec59dc3e996d2b73cc642991a1b9f.jpg);""></div>",/title/80120200,"<p class=""watch-page-link"" data-href=""/title/80120200""><span class=""watch-page-link-title"" data-href=""/title/80120200"">Gonul</span><span class=""watch-page-link-availability""><span class=""watch-page-link-year"">2015</span><span class=""watch-page-link-maturity"">TV-14</span><span class=""watch-page-link-duration"">1 Season</span></span></p>"
11,/title/80089561,Love and Punishment,"After discovering her fiancé's infidelity, good girl Yasemin's journey of wild revenge destroys a sacred promise to her father and changes her future.",TV-14,1 Season,2010,CastNurgül YeşilçayMurat YıldırımFeride ÇetinTomris İncerZeynep BeşerlerCaner KurtaranGökçe YanardağOktay GürsoyKerem AtabeyoğluSennur KayaNazan KesalCenk Ertan,"Nurgül Yeşilçay, Murat Yıldırım, Feride Çetin, Tomris İncer, Zeynep Beşerler, Caner Kurtaran, Gökçe Yanardağ, Oktay Gürsoy, Kerem Atabeyoğlu, Sennur Kaya, Nazan Kesal, Cenk Ertan","[u'TV Shows', u'International TV Shows', u'Romantic TV Shows', u'TV Action & Adventure', u'TV Dramas', u'Exciting', u'Romantic']",https://occ-0-1361-1007.1.nflxso.net/art/3c4af/14850b6f095c84c81574ea443a5bc8ac51e3c4af.jpg,"<div class=""title-boxart"" style=""background-image:url(https://occ-0-1361-1007.1.nflxso.net/art/b5595/77b0e19674722bbf6ec5ab26d9d9c4361cdb5595.jpg);""></div>",/title/80089561,"<p class=""watch-page-link"" data-href=""/title/80089561""><span class=""watch-page-link-title"" data-href=""/title/80089561"">Love and Punishment</span><span class=""watch-page-link-availability""><span class=""watch-page-link-year"">2010</span><span class=""watch-page-link-maturity"">TV-14</span><span class=""watch-page-link-duration"">1 Season</span></span></p>"
12,/title/80037153,Karadayi,"When his father is wrongly convicted of a murder, a man tries to find the real killer, drawing his respectable family into a dangerous war.",TV-14,1 Season,2012,CastKenan İmirzalıoğluBergüzar KorelÇetin TekindorYurdaer OkurErkan AvcıMelike YalovaRıza KocaoğluŞebnem DilligilLila Nil GürmenDeniz Şen HamzaoğluAta Berk Mutlu,"Kenan İmirzalıoğlu, Bergüzar Korel, Çetin Tekindor, Yurdaer Okur, Erkan Avcı, Melike Yalova, Rıza Kocaoğlu, Şebnem Dilligil, Lila Nil Gürmen, Deniz Şen Hamzaoğlu, Ata Berk Mutlu","[u'TV Shows', u'Crime TV Shows', u'International TV Shows', u'TV Dramas', u'Crime TV Dramas']",https://occ-0-1361-1007.1.nflxso.net/art/6e225/afd098af272181af4e8ae689a2387eca3216e225.jpg,"<div class=""title-boxart"" style=""background-image:url(https://occ-0-1361-1007.1.nflxso.net/art/959ad/84be3c10417c29f5646818aa9f6401d639c959ad.jpg);""></div>",/title/80037153,"<p class=""watch-page-link"" data-href=""/title/80037153""><span class=""watch-page-link-title"" data-href=""/title/80037153"">Karadayi</span><span class=""watch-page-link-availability""><span class=""watch-page-link-year"">2012</span><span class=""watch-page-link-maturity"">TV-14</span><span class=""watch-page-link-duration"">1 Season</span></span></p>"
13,/title/80037176,Kacak,A cop who killed a mobster's son and fled to a small town with a changed identity finds his quiet new life disrupted when he becomes a local hero.,TV-14,1 Season,2013,CastGürkan UygunMustafa AvkıranBerk HakmanBegüm BirgörenÖzlem YılmazYağmur Tanrısevsinİnanç KonukçuHasan KüçükçetinMetin CoşkunSelda ÖzerYağız Atakan SavaşBurak DenizCengiz SeziciHaluk BilginerTuğba Melis Türk,"Gürkan Uygun, Mustafa Avkıran, Berk Hakman, Begüm Birgören, Özlem Yılmaz, Yağmur Tanrısevsin, İnanç Konukçu, Hasan Küçükçetin, Metin Coşkun, Selda Özer, Yağız Atakan Savaş, Burak Deniz, Cengiz Sezici, Haluk Bilginer, Tuğba Melis Türk","[u'TV Shows', u'Crime TV Shows', u'International TV Shows', u'TV Action & Adventure', u'TV Dramas', u'Crime TV Dramas', u'Suspenseful', u'Violent']",https://occ-0-1361-1007.1.nflxso.net/art/f9295/ad87594a956efe826a17fca0ebeb4bbe359f9295.jpg,"<div class=""title-boxart"" style=""background-image:url(https://occ-0-1361-1007.1.nflxso.net/art/bdfde/822911ada0beb6f2e099971a12172af9d81bdfde.jpg);""></div>",/title/80037176,"<p class=""watch-page-link"" data-href=""/title/80037176""><span class=""watch-page-link-title"" data-href=""/title/80037176"">Kacak</span><span class=""watch-page-link-availability""><span class=""watch-page-link-year"">2013</span><span class=""watch-page-link-maturity"">TV-14</span><span class=""watch-page-link-duration"">1 Season</span></span></p>"
14,/title/70086000,Gallipoli,"Explore the World War I Gallipoli battle through dramatic reenactments, 3D animation and interviews with noted experts in this meticulous docudrama.",NR,118m,2006,"DirectorsTolga Örnek, CastZafer Ergin","Tolga Örnek, Zafer Ergin","[u'Documentaries', u'International Documentaries', u'Historical Documentaries', u'Military Documentaries', u'International Movies', u'Middle Eastern Movies', u'Dark']",https://occ-0-1361-1007.1.nflxso.net/art/4da9a/7aefb7e314ab1ea24f69863a555959420d54da9a.jpg,"<div class=""title-boxart"" style=""background-image:url(https://occ-0-1361-1007.1.nflxso.net/art/fcc5b/46003f5c67136134ced6adbf3f21f9ca8b8fcc5b.jpg);""></div>",/title/70086000,"<p class=""watch-page-link"" data-href=""/title/70086000""><span class=""watch-page-link-title"" data-href=""/title/70086000"">Gallipoli</span><span class=""watch-page-link-availability""><span class=""watch-page-link-year"">2006</span><span class=""watch-page-link-maturity"">NR</span><span class=""watch-page-link-duration"">118m</span></span></p>"
15,/title/80126599,Leyla and Mecnun,"Destiny brings Mecnun and Leyla together as newborns, and again years later. Despite unexpected turns in Mecnun's zany life, Leyla remains a constant.",TV-PG,3 Seasons,2011,"CreatorsOnur Ünlü, DirectorsOnur Ünlü, CastAli AtayMelis BirkanSerkan KeskinAhmet Mümtaz TaylanCengiz BozkurtOsman SonantKöksal EngürEge Tanmanİştar Gökseven","Onur Ünlü, Onur Ünlü, Ali Atay, Melis Birkan, Serkan Keskin, Ahmet Mümtaz Taylan, Cengiz Bozkurt, Osman Sonant, Köksal Engür, Ege Tanman, İştar Gökseven","[u'TV Shows', u'International TV Shows', u'Romantic TV Shows', u'TV Comedies', u'Goofy', u'Absurd', u'Romantic']",https://occ-0-1361-1007.1.nflxso.net/art/9d2fd/29abfa7b0eea803b5f4884934db542d03f59d2fd.jpg,"<div class=""title-boxart"" style=""background-image:url(https://occ-0-1361-1007.1.nflxso.net/art/b5e74/196ab3d0548bd9b2a011c8dbb3add9d5631b5e74.jpg);""></div>",/title/80126599,"<p class=""watch-page-link"" data-href=""/title/80126599""><span class=""watch-page-link-title"" data-href=""/title/80126599"">Leyla and Mecnun</span><span class=""watch-page-link-availability""><span class=""watch-page-link-year"">2011</span><span class=""watch-page-link-maturity"">TV-PG</span><span class=""watch-page-link-duration"">3 Seasons</span></span></p>"
16,/title/70300496,The End,"A woman's quest to learn the truth about her missing husband leads her into a web of family secrets, devious schemes and international intrigue.",TV-14,1 Season,2012,CastYiğit ÖzşenerNehir ErdoğanErkan CanBerrak TüzünataçEngin Altan Düzyatan,"Yiğit Özşener, Nehir Erdoğan, Erkan Can, Berrak Tüzünataç, Engin Altan Düzyatan","[u'TV Shows', u'International TV Shows', u'TV Dramas', u'TV Mysteries']",https://occ-0-1361-1007.1.nflxso.net/art/3c47a/89b3c367fcfe4d302c6984032a8453ea9633c47a.jpg,"<div class=""title-boxart"" style=""background-image:url(https://occ-0-1361-1007.1.nflxso.net/art/a77f9/1b0584146383a2d6c143af11ef25cbc6490a77f9.jpg);""></div>",/title/70300496,"<p class=""watch-page-link"" data-href=""/title/70300496""><span class=""watch-page-link-title"" data-href=""/title/70300496"">The End</span><span class=""watch-page-link-availability""><span class=""watch-page-link-year"">2012</span><span class=""watch-page-link-maturity"">TV-14</span><span class=""watch-page-link-duration"">1 Season</span></span></p>"
17,/title/80121845,Love Is in the Air,"Toprak, who lost her baby, is hired as a wet nurse for wealthy Yusuf's motherless son. Yusuf is drawn to Toprak, but also to her scheming sister.",TV-PG,1 Season,2010,CastMurat ÜnalmışBirce AkalaySelen SoyderErman OkayKanbolat Gorkem ArslanLevent YilmazAysegül GünaySelma KutluğUlvi Alacakaptanİpek ErdemYilmaz CalayirIsil Yücesoy,"Murat Ünalmış, Birce Akalay, Selen Soyder, Erman Okay, Kanbolat Gorkem Arslan, Levent Yilmaz, Aysegül Günay, Selma Kutluğ, Ulvi Alacakaptan, İpek Erdem, Yilmaz Calayir, Isil Yücesoy","[u'TV Shows', u'International TV Shows', u'TV Dramas', u'Emotional']",https://occ-0-1361-1007.1.nflxso.net/art/d36f9/546e81670b428a94f2778a034552e562de5d36f9.jpg,"<div class=""title-boxart"" style=""background-image:url(https://occ-0-1361-1007.1.nflxso.net/art/8abd6/7162ce6a5cf21e9a0383d7ed91ccf3a41d58abd6.jpg);""></div>",/title/80121845,"<p class=""watch-page-link"" data-href=""/title/80121845""><span class=""watch-page-link-title"" data-href=""/title/80121845"">Love Is in the Air</span><span class=""watch-page-link-availability""><span class=""watch-page-link-year"">2010</span><span class=""watch-page-link-maturity"">TV-PG</span><span class=""watch-page-link-duration"">1 Season</span></span></p>"
18,/title/80077862,Baskin,A group of tough Turkish lawmen answer a call from a remote town and stumble into a gory Black Mass that appears to be occurring literally in Hell.,NR,96m,2015,"DirectorsCan Evrenol, CastGörkem KasalErgun KuyucuMuharrem BayrakFatih DokgözSabahattin YakutMehmet Cerrahoglu","Can Evrenol, Görkem Kasal, Ergun Kuyucu, Muharrem Bayrak, Fatih Dokgöz, Sabahattin Yakut, Mehmet Cerrahoglu","[u'Horror Movies', u'International Movies', u'Middle Eastern Movies', u'Violent']",https://occ-0-1361-1007.1.nflxso.net/art/0caf0/44fb6d65b176b9886bbaeb2c3d18353a3c40caf0.jpg,"<div class=""title-boxart"" style=""background-image:url(https://occ-0-1361-1007.1.nflxso.net/art/14f41/568cda832cfef334e393c3be1458666015714f41.jpg);""></div>",/title/80077862,"<p class=""watch-page-link"" data-href=""/title/80077862""><span class=""watch-page-link-title"" data-href=""/title/80077862"">Baskin</span><span class=""watch-page-link-availability""><span class=""watch-page-link-year"">2015</span><span class=""watch-page-link-maturity"">NR</span><span class=""watch-page-link-duration"">96m</span></span></p>"
19,/title/80134519,Sadece Sen,"An ex-boxer falls in love with a blind woman and starts to build a new life, but his violent past returns to endanger them both.",TV-MA,105m,2014,"DirectorsHakan Yonat, CastBelçim Bilginİbrahim ÇelikkolKerem CanNecmi YapıcıLevent SülünBarış ArduçErol GedikCezmi Baskın","Hakan Yonat, Belçim Bilgin, İbrahim Çelikkol, Kerem Can, Necmi Yapıcı, Levent Sülün, Barış Arduç, Erol Gedik, Cezmi Baskın","[u'Dramas', u'International Dramas', u'Sports Dramas', u'Romantic Dramas', u'International Movies', u'Middle Eastern Movies', u'Romantic Movies', u'Sports Movies', u'Boxing Movies', u'Emotional', u'Romantic', u'Violent']",https://occ-0-1361-1007.1.nflxso.net/art/022ac/7b298ebe476f596c3eeac1a1596a5d2ae3d022ac.jpg,"<div class=""title-boxart"" style=""background-image:url(https://occ-0-1361-1007.1.nflxso.net/art/b71c8/1d63d2bf9ffdeffa94cf1ca36cb9d227ba1b71c8.jpg);""></div>",/title/80134519,"<p class=""watch-page-link"" data-href=""/title/80134519""><span class=""watch-page-link-title"" data-href=""/title/80134519"">Sadece Sen</span><span class=""watch-page-link-availability""><span class=""watch-page-link-year"">2014</span><span class=""watch-page-link-maturity"">TV-MA</span><span class=""watch-page-link-duration"">105m</span></span></p>"
